Movie,Actor1,Actor2,Actor3
The Shawshank Redemption,Tim Robbins,Morgan Freeman,Bob Gunton
The Godfather,Marlon Brando,Al Pacino,James Caan
The Dark Knight,Christian Bale,Heath Ledger,Aaron Eckhart
The Godfather: Part II,Al Pacino,Robert De Niro,Robert Duvall
Pulp Fiction,John Travolta,Uma Thurman,Samuel L. Jackson
Schindler's List,Liam Neeson,Ralph Fiennes,Ben Kingsley
The Lord of the Rings: The Return of the King,Elijah Wood,Viggo Mortensen,Ian McKellen
12 Angry Men,Henry Fonda,Lee J. Cobb,Martin Balsam
"Il Buono, Il Brutto, Il Cattivo",Clint Eastwood,Eli Wallach,Lee Van Cleef
Forrest Gump,Tom Hanks,Robin Wright,Gary Sinise
Inception,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page
The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,Ian McKellen,Orlando Bloom
Fight Club,Brad Pitt,Edward Norton,Meat Loaf
Dangal,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh
Star Wars: Episode V - The Empire Strikes Back,Mark Hamill,Harrison Ford,Carrie Fisher
Star Wars: Episode IV - A New Hope,Mark Hamill,Harrison Ford,Carrie Fisher
The Matrix,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
GoodFellas,Robert De Niro,Ray Liotta,Joe Pesci
One Flew Over the Cuckoo's Nest,Jack Nicholson,Louise Fletcher,Michael Berryman
City of God,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele
The Lord of the Rings: The Two Towers,Elijah Wood,Ian McKellen,Viggo Mortensen
Shichinin No Samurai,Toshirô Mifune,Takashi Shimura,Keiko Tsushima
Interstellar,Matthew McConaughey,Anne Hathaway,
